player_id,contestantShortName,shirt_number,team_uuid,age,last_name,first_name,player,squad_position,contestantName,squad_position_detailed,date_of_birth,contestantCode,player_uuid,contestantClubName,team_id,attack_overall_apps,attack_overall_mins_played,attack_overall_goals,attack_overall_xg,attack_overall_goals_vs_xg,attack_overall_shots,attack_overall_shots_on_target,attack_overall_shot_conv,attack_overall_xg_per_shot,attack_nonPenalty_np_goals,attack_nonPenalty_np_xg,attack_nonPenalty_np_goals_vs_xg,attack_nonPenalty_np_shots,attack_nonPenalty_np_shots_on_target,attack_nonPenalty_np_shot_conv,attack_nonPenalty_np_xg_per_shot,possession_chanceCreation_mins_played,possession_chanceCreation_apps,possession_chanceCreation_chances_created,possession_chanceCreation_op_chances_created,possession_chanceCreation_chances_per_100_pass,possession_chanceCreation_chances_sp_op_ratio,possession_chanceCreation_xa,possession_chanceCreation_op_xa,possession_chanceCreation_assists,possession_chanceCreation_op_assists,possession_passing_passes,possession_passing_successful_passes,possession_passing_pass_perc,possession_passing_total_final_third_passes,possession_passing_successful_final_third_passes,possession_passing_ft_pass_perc,possession_passing_op_crosses,possession_passing_successful_op_crosses,possession_passing_cross_perc,possession_passing_through_balls,possession_passing_successful_through_balls,possession_passing_through_ball_perc,carries_overall_apps,carries_overall_carries,carries_overall_carry_distance,carries_overall_progressive_carries,carries_overall_progressive_distance,carries_overall_shot_ending,carries_overall_goal_ending,carries_overall_chance_ending,carries_overall_assist_ending,carries_overall_dist_per_carry,carries_overall_dist_per_progressive_carry,defending_overall_tackles,defending_overall_interceptions,defending_overall_recoveries,defending_overall_blocks,defending_overall_clearances,defending_overall_ground_duels,defending_overall_ground_duels_won,defending_overall_ground_duel_perc,defending_overall_aerial_duels,defending_overall_aerial_duels_won,defending_overall_aerial_duel_perc,defending_discipline_yellows,defending_discipline_reds,defending_discipline_fouls_commited,defending_discipline_pens_conceded,defending_discipline_offsides,goalkeeping_overall_apps,goalkeeping_overall_mins_played,goalkeeping_overall_team_mins,goalkeeping_overall_team_mins_perc,goalkeeping_overall_ogs,goalkeeping_overall_goals_conceded,goalkeeping_overall_saves_made,goalkeeping_overall_save_perc,goalkeeping_overall_goals_prevented,goalkeeping_overall_goals_prevented_rate,goalkeeping_overall_xgot_conceded
18892,Ipswich,15,8b523ujgl21tbc01me65q0aoh,40.91,Young,Ashley,Ashley Young,Defender,Ipswich Town FC,Full Back,1985-07-09,IPS,7paw998ux29k7hx4t1g0wu85x,Ipswich Town,40,13.0,393.0,0.0,0.07,-0.07,2.0,0.0,0.0,0.04,0.0,0.07,-0.07,2.0,0.0,0.0,0.04,393.0,13.0,10.0,6.0,2.05,40.0,1.538,0.818,0.0,0.0,304.0,254.0,83.55,114.0,88.0,77.19,17.0,4.0,23.53,2.0,1.0,50.0,12.0,73.0,666.447,43.0,401.205,1.0,0.0,0.0,0.0,9.129,9.33,9.0,2.0,29.0,0.0,15.0,19.0,12.0,63.158,12.0,6.0,50.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,
38038,QPR,29,72nmbktwvcj3wizfp37yjf0dp,38.54,Hamer,Ben,Ben Hamer,Goalkeeper,Queens Park Rangers FC,Goalkeeper,1987-11-20,QPR,2hq4sgf9txf1t1ru67elyenkl,Queens Park Rangers,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,559.0,4140.0,14.0,0.0,6.0,11.0,64.71,-0.47,0.83,5.53
39325,Derby,12,3ptd7zlc5isrongig0wij2id4,37.73,O'Donnell,Richard,Richard O'Donnell,Goalkeeper,Derby County FC,0,1988-09-12,DER,f3so5q5rvck6ztfvgtjad9nmd,Derby County,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,634.0,4140.0,15.0,0.0,6.0,20.0,76.92,-0.44,0.83,5.56
40349,Leicester,31,avxknfz4f6ob0rv9dbnxdzde0,38.96,Begovic,Asmir,Asmir Begovic,Goalkeeper,Leicester City FC,0,1987-06-20,LEI,5tlxrhab4kdeud8d2r9z9hk2d,Leicester City,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,945.0,4140.0,23.0,0.0,21.0,26.0,55.32,-2.58,0.86,18.42
44683,Wrexham,16,206vnsjv8ho5kpf88y0u2gaic,36.85,Rodriguez,Jay,Jay Rodriguez,Forward,Wrexham FC,0,1989-07-29,WRE,blczo3w34ik1wuu9r042gfvf9,Wrexham,109,7.0,16.0,0.0,0.55,-0.55,4.0,0.0,0.0,0.14,0.0,0.55,-0.55,4.0,0.0,0.0,0.14,16.0,7.0,0.0,0.0,0.0,0.0,0.033,0.033,0.0,0.0,9.0,5.0,55.56,6.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,31.156,1.0,17.325,1.0,0.0,0.0,0.0,10.385,17.325,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,6.0,2.0,33.333,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,
45268,Watford,17,4t83rqbdbekinxl5fz2ygsyta,36.8,Sissoko,Moussa,Moussa Sissoko,Midfielder,Watford FC,Central Midfielder,1989-08-16,WAT,oc04nz0mrmzeqpcbql3rbhlh,Watford,57,20.0,738.0,0.0,0.39,-0.39,3.0,1.0,0.0,0.13,0.0,0.39,-0.39,3.0,1.0,0.0,0.13,738.0,20.0,6.0,6.0,3.26,0.0,0.275,0.274,0.0,0.0,189.0,155.0,82.01,60.0,42.0,70.0,7.0,1.0,14.29,0.0,0.0,0.0,16.0,53.0,620.642,27.0,305.865,2.0,0.0,2.0,0.0,11.71,11.328,15.0,3.0,38.0,1.0,7.0,55.0,19.0,34.545,16.0,6.0,37.5,0.0,0.0,12.0,0.0,1.0,,,,,,,,,,,
49323,Stoke,15,4qioq44vcv619vnyy2rpovk4e,37.47,Nzonzi,Steven,Steven Nzonzi,Midfielder,Stoke City FC,0,1988-12-15,STO,9puzo3psqfjufujh4lo3cug2d,Stoke City,110,30.0,1374.0,1.0,0.82,0.18,13.0,5.0,7.69,0.06,1.0,0.82,0.18,13.0,5.0,7.69,0.06,1374.0,30.0,4.0,4.0,0.55,0.0,0.356,0.355,0.0,0.0,734.0,583.0,79.43,136.0,79.0,58.09,3.0,2.0,66.67,0.0,0.0,0.0,22.0,92.0,749.066,25.0,137.34,0.0,0.0,1.0,0.0,8.142,5.494,19.0,13.0,57.0,12.0,44.0,53.0,28.0,52.83,89.0,50.0,56.18,2.0,0.0,14.0,0.0,0.0,,,,,,,,,,,
50229,Oxford,10,ahm0t06rup1bkd9z0mxl2lmph,35.23,Phillips,Matt,Matt Phillips,Midfielder,Oxford United FC,Winger,1991-03-13,OXF,dsteap0b6lis83b9au13evr2t,Oxford United,106,8.0,265.0,0.0,0.25,-0.25,5.0,2.0,0.0,0.05,0.0,0.25,-0.25,5.0,2.0,0.0,0.05,265.0,8.0,5.0,5.0,8.47,0.0,0.151,0.151,0.0,0.0,61.0,40.0,65.57,32.0,19.0,59.38,5.0,0.0,0.0,1.0,1.0,100.0,8.0,27.0,352.904,16.0,248.325,1.0,0.0,0.0,0.0,13.071,15.52,6.0,2.0,13.0,0.0,2.0,19.0,10.0,52.632,11.0,4.0,36.364,1.0,0.0,4.0,0.0,1.0,,,,,,,,,,,
51927,Sheff Utd,15,bws31egwjda253q9lvykgnivo,36.7,Mee,Ben,Ben Mee,Defender,Sheffield United FC,Central Defender,1989-09-21,SHU,66939rcic8zhw13nlcniiq4t1,Sheffield United,49,15.0,1254.0,0.0,0.57,-0.57,6.0,0.0,0.0,0.1,0.0,0.57,-0.57,6.0,0.0,0.0,0.1,1254.0,15.0,3.0,2.0,0.35,0.0,0.7,0.69,1.0,0.0,599.0,469.0,78.3,120.0,62.0,51.67,8.0,3.0,37.5,0.0,0.0,0.0,15.0,100.0,933.225,71.0,661.815,0.0,0.0,0.0,0.0,9.332,9.321,8.0,14.0,40.0,6.0,109.0,24.0,14.0,58.333,92.0,63.0,68.478,2.0,0.0,5.0,0.0,0.0,,,,,,,,,,,
54738,Charlton,1,2ezfenuwk3y65p8jdbj55xqt0,33.61,Kaminski,Thomas,Thomas Kaminski,Goalkeeper,Charlton Athletic FC,0,1992-10-23,CHA,ag4dpuocam5wfpvpyxtxhpa6t,Charlton Athletic,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,3330.0,4140.0,80.0,2.0,49.0,106.0,68.39,-4.02,0.89,42.98
