player_id,contestantCode,shirt_number,contestantName,player,contestantClubName,contestantShortName,team_uuid,first_name,squad_position,last_name,team_id,date_of_birth,player_uuid,squad_position_detailed,age,attack_overall_apps,attack_overall_mins_played,attack_overall_goals,attack_overall_xg,attack_overall_goals_vs_xg,attack_overall_shots,attack_overall_shots_on_target,attack_overall_shot_conv,attack_overall_xg_per_shot,attack_nonPenalty_np_goals,attack_nonPenalty_np_xg,attack_nonPenalty_np_goals_vs_xg,attack_nonPenalty_np_shots,attack_nonPenalty_np_shots_on_target,attack_nonPenalty_np_shot_conv,attack_nonPenalty_np_xg_per_shot,possession_chanceCreation_mins_played,possession_chanceCreation_apps,possession_chanceCreation_chances_created,possession_chanceCreation_op_chances_created,possession_chanceCreation_chances_per_100_pass,possession_chanceCreation_chances_sp_op_ratio,possession_chanceCreation_xa,possession_chanceCreation_op_xa,possession_chanceCreation_assists,possession_chanceCreation_op_assists,possession_passing_passes,possession_passing_successful_passes,possession_passing_pass_perc,possession_passing_total_final_third_passes,possession_passing_successful_final_third_passes,possession_passing_ft_pass_perc,possession_passing_op_crosses,possession_passing_successful_op_crosses,possession_passing_cross_perc,possession_passing_through_balls,possession_passing_successful_through_balls,possession_passing_through_ball_perc,carries_overall_apps,carries_overall_carries,carries_overall_carry_distance,carries_overall_progressive_carries,carries_overall_progressive_distance,carries_overall_shot_ending,carries_overall_goal_ending,carries_overall_chance_ending,carries_overall_assist_ending,carries_overall_dist_per_carry,carries_overall_dist_per_progressive_carry,defending_overall_tackles,defending_overall_interceptions,defending_overall_recoveries,defending_overall_blocks,defending_overall_clearances,defending_overall_ground_duels,defending_overall_ground_duels_won,defending_overall_ground_duel_perc,defending_overall_aerial_duels,defending_overall_aerial_duels_won,defending_overall_aerial_duel_perc,defending_discipline_yellows,defending_discipline_reds,defending_discipline_fouls_commited,defending_discipline_pens_conceded,defending_discipline_offsides,goalkeeping_overall_apps,goalkeeping_overall_mins_played,goalkeeping_overall_team_mins,goalkeeping_overall_team_mins_perc,goalkeeping_overall_ogs,goalkeeping_overall_goals_conceded,goalkeeping_overall_saves_made,goalkeeping_overall_save_perc,goalkeeping_overall_goals_prevented,goalkeeping_overall_goals_prevented_rate,goalkeeping_overall_xgot_conceded
15157,BHA,20,Brighton & Hove Albion FC,James Milner,Brighton & Hove Albion,Brighton,e5p0ehyguld7egzhiedpdnc3w,James,Midfielder,Milner,36,1986-01-04,3xqbru6q5dvtrhv6coe7retp1,Central Midfielder,40.42,20.0,778.0,1.0,1.02,-0.02,8.0,2.0,12.5,0.13,0.0,0.23,-0.23,7.0,1.0,0.0,0.03,778.0,20.0,8.0,7.0,1.51,0.0,0.633,0.465,1.0,0.0,487.0,423.0,86.86,138.0,103.0,74.64,9.0,3.0,33.33,1.0,1.0,100.0,16.0,74.0,697.413,42.0,337.155,1.0,0.0,2.0,0.0,9.424,8.028,15.0,6.0,40.0,1.0,19.0,46.0,19.0,41.304,16.0,6.0,37.5,2.0,0.0,15.0,0.0,1.0,,,,,,,,,,,
17761,EVE,6,Everton FC,James Tarkowski,Everton,Everton,ehd2iemqmschhj2ec0vayztzz,James,Defender,Tarkowski,11,1992-11-19,35jaxclh329duzefna708jk5x,Central Defender,33.54,37.0,3330.0,2.0,2.91,-0.91,21.0,10.0,9.52,0.14,2.0,2.91,-0.91,21.0,10.0,9.52,0.14,3330.0,37.0,18.0,15.0,1.06,0.0,2.071,2.055,3.0,3.0,1559.0,1257.0,80.63,323.0,151.0,46.75,7.0,2.0,28.57,9.0,3.0,33.33,37.0,307.0,3045.946,166.0,1650.18,0.0,0.0,1.0,0.0,9.922,9.941,51.0,32.0,88.0,46.0,242.0,134.0,87.0,64.925,212.0,148.0,69.811,8.0,0.0,32.0,1.0,2.0,,,,,,,,,,,
44699,BUR,35,Burnley FC,Ashley Barnes,Burnley,Burnley,64bxxwu2mv2qqlv0monbkj1om,Ashley,Forward,Barnes,90,1989-10-30,bwgjvtqtuflgq4ov3xis75vbp,Striker,36.59,7.0,40.0,0.0,0.25,-0.25,2.0,1.0,0.0,0.12,0.0,0.25,-0.25,2.0,1.0,0.0,0.12,40.0,7.0,0.0,0.0,0.0,0.0,0.041,0.041,0.0,0.0,13.0,4.0,30.77,11.0,3.0,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,40.0,16.0,8.0,50.0,1.0,0.0,2.0,0.0,2.0,,,,,,,,,,,
50175,BHA,18,Brighton & Hove Albion FC,Danny Welbeck,Brighton & Hove Albion,Brighton,e5p0ehyguld7egzhiedpdnc3w,Danny,Forward,Welbeck,36,1990-11-26,c0yxqwkxqx1sty7abj1qwh9zp,Striker,35.52,37.0,2263.0,13.0,12.44,0.56,56.0,28.0,23.21,0.22,12.0,10.08,1.92,53.0,26.0,22.64,0.19,2263.0,37.0,20.0,19.0,3.96,0.0,1.402,1.402,1.0,1.0,486.0,386.0,79.42,198.0,142.0,71.72,2.0,0.0,0.0,5.0,3.0,60.0,30.0,120.0,1221.493,47.0,417.06,6.0,1.0,3.0,0.0,10.179,8.874,24.0,9.0,51.0,0.0,30.0,122.0,45.0,36.885,56.0,19.0,33.929,5.0,0.0,30.0,0.0,5.0,,,,,,,,,,,
54469,BOU,15,AFC Bournemouth,Adam Smith,AFC Bournemouth,Bournemouth,1pse9ta7a45pi2w2grjim70ge,Adam,Defender,Smith,91,1991-04-29,80bmtj7l07ohb2h475w955n9,Full Back,35.1,22.0,1076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.0,22.0,5.0,3.0,0.85,0.0,0.247,0.244,2.0,2.0,363.0,283.0,77.96,116.0,71.0,61.21,13.0,1.0,7.69,0.0,0.0,0.0,13.0,44.0,478.383,24.0,205.59,0.0,0.0,1.0,0.0,10.872,8.566,15.0,8.0,29.0,9.0,38.0,60.0,26.0,43.333,30.0,14.0,46.667,3.0,0.0,19.0,0.0,0.0,,,,,,,,,,,
56979,BRE,6,Brentford FC,Jordan Henderson,Brentford,Brentford,7yx5dqhhphyvfisohikodajhv,Jordan,Midfielder,Henderson,94,1990-06-17,25yu90pekqr1lhs098f3uxy39,Central Midfielder,35.96,32.0,1922.0,1.0,0.33,0.67,6.0,1.0,16.67,0.06,1.0,0.33,0.67,6.0,1.0,16.67,0.06,1922.0,32.0,19.0,14.0,1.25,10.53,2.452,2.002,3.0,3.0,1158.0,902.0,77.89,346.0,203.0,58.67,38.0,12.0,31.58,6.0,2.0,33.33,32.0,207.0,2066.508,89.0,622.02,1.0,0.0,2.0,0.0,9.983,6.989,27.0,17.0,98.0,7.0,34.0,68.0,35.0,51.471,31.0,13.0,41.935,6.0,0.0,13.0,0.0,1.0,,,,,,,,,,,
57328,CRY,17,Crystal Palace FC,Nathaniel Clyne,Crystal Palace,Crystal Palace,1c8m2ko0wxq1asfkuykurdr0y,Nathaniel,Defender,Clyne,31,1991-04-05,ezrn62nekq3wpw1qs1yu1ezmd,Full Back,35.16,10.0,596.0,0.0,0.43,-0.43,3.0,0.0,0.0,0.14,0.0,0.43,-0.43,3.0,0.0,0.0,0.14,596.0,10.0,3.0,2.0,1.09,0.0,0.678,0.677,1.0,1.0,184.0,147.0,79.89,55.0,40.0,72.73,16.0,2.0,12.5,0.0,0.0,0.0,9.0,42.0,404.702,22.0,177.66,1.0,0.0,2.0,1.0,9.636,8.075,16.0,5.0,17.0,2.0,26.0,34.0,21.0,61.765,8.0,2.0,25.0,1.0,0.0,4.0,0.0,0.0,,,,,,,,,,,
58621,BUR,2,Burnley FC,Kyle Walker,Burnley,Burnley,64bxxwu2mv2qqlv0monbkj1om,Kyle,Defender,Walker,90,1990-05-28,e9wu8dcamrtj3ftbx3nmhusid,Full Back,36.02,36.0,3097.0,0.0,0.16,-0.16,4.0,0.0,0.0,0.04,0.0,0.16,-0.16,4.0,0.0,0.0,0.04,3097.0,36.0,13.0,9.0,0.65,15.38,1.339,1.205,2.0,0.0,1441.0,1115.0,77.38,401.0,257.0,64.09,32.0,6.0,18.75,3.0,1.0,33.33,35.0,265.0,3049.831,144.0,1483.02,1.0,0.0,3.0,0.0,11.509,10.299,56.0,45.0,155.0,9.0,102.0,169.0,91.0,53.846,92.0,47.0,51.087,9.0,0.0,32.0,0.0,1.0,,,,,,,,,,,
59735,LEE,26,Leeds United FC,Karl Darlow,Leeds United,Leeds,48gk2hpqtsl6p9sx9kjhaydq4,Karl,Goalkeeper,Darlow,2,1990-10-08,cnoomjxp6tna0mx2ycuptgixh,Goalkeeper,35.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1980.0,3420.0,58.0,1.0,27.0,63.0,70.0,-0.58,0.96,25.42
59859,MCI,19,Manchester City FC,Ilkay Gündogan,Manchester City,Man City,a3nyxabgsqlnqfkeg41m6tnpp,Ilkay,Midfielder,Gündogan,43,1990-10-24,59859,Central Midfielder,35.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
