team_id,contestantName,team,attack_overall_played,attack_overall_goals,attack_overall_xg,attack_overall_goals_vs_xg,attack_overall_total_shots,attack_overall_sot,attack_overall_shot_conv,attack_overall_xg_per_shot,attack_overall_shots_in_box_perc,attack_overall_goals_in_box_perc,attack_overall_contestantClubName,attack_overall_contestantShortName,attack_overall_contestantCode,attack_overall_team_uuid,attack_non_pen_np_goals,attack_non_pen_team_np_xG,attack_non_pen_goals_vs_xg,attack_non_pen_np_shots,attack_non_pen_np_sot,attack_non_pen_shot_conv,attack_non_pen_xg_per_shot,attack_non_pen_shots_in_box_perc,attack_non_pen_goals_in_box_perc,attack_set_piece_sp_goals,attack_set_piece_sp_shots,attack_set_piece_team_sp_xG,attack_set_piece_team_sp_goal_perc,attack_set_piece_team_sp_shot_perc,attack_set_piece_team_sp_xg_perc,attack_misc_tch_in_box,attack_misc_hit_woodwork,attack_misc_offsides,attack_misc_pens,attack_misc_pen_goals,attack_misc_dfk,attack_misc_dfk_goals,attack_misc_headed_shots,attack_misc_headed_goals,attack_misc_fast_break_shots,attack_misc_fast_break_goals,possession_overall_pos_perc,possession_overall_passes,possession_overall_successful_pass,possession_overall_accuracy,possession_overall_final_third_passes,possession_overall_successful_final_third_passes,possession_overall_successful_final_third_passes_perc,possession_overall_successful_long_balls_perc,possession_overall_op_crosses,possession_overall_successful_op_crosses,possession_overall_op_cross_accuracy_perc,possession_overall_fwd_pass_perc,possession_overall_backward_pass_perc,possession_overall_left_pass_perc,possession_overall_right_pass_perc,possession_overall_through_balls,possession_overall_total_tackles,possession_overall_interceptions,possession_overall_rec,possession_overall_ground_duel_success_perc,possession_overall_aerial_duel_success_perc,possession_overall_blocks,possession_overall_clearances,defending_overall_goals_against,defending_overall_xg_against,defending_overall_goals_vs_xg_conceded,defending_overall_total_shots_against,defending_overall_sot_against,defending_overall_shot_conv_against,defending_overall_xg_per_shot_against,defending_overall_shots_in_box_perc_against,defending_overall_goals_in_box_perc_against,defending_non_pen_np_goals_against,defending_non_pen_team_np_xG_against,defending_non_pen_goals_vs_xg_against,defending_non_pen_np_shots_against,defending_non_pen_np_sot_against,defending_non_pen_shot_conv_against,defending_non_pen_xg_per_shot_against,defending_non_pen_shots_in_box_perc_against,defending_non_pen_goals_in_box_perc_against,defending_set_piece_sp_goals_against,defending_set_piece_sp_shots,defending_set_piece_team_sp_xG_against,defending_set_piece_team_sp_goal_perc_against,defending_set_piece_team_sp_shot_perc_against,defending_set_piece_team_sp_xg_perc_against,defending_misc_opp_tch_in_box,defending_misc_opp_hit_woodwork,defending_misc_offsides_provoked,defending_misc_pens_faced,defending_misc_pen_goals_against,defending_misc_dfk_against,defending_misc_dfk_goals_against,defending_misc_headed_shots_against,defending_misc_headed_goals_against,defending_misc_fast_break_shots_against,defending_misc_fast_break_goals_against,misc_overall_subs_used,misc_overall_subs_goals,misc_overall_errors_lead_to_shot,misc_overall_errors_lead_to_goal,misc_overall_fouls_won,misc_overall_opp_yellows,misc_overall_opp_reds,misc_overall_fouls_lost,misc_overall_yellows,misc_overall_reds,sequences_overall_pressed_sequences,sequences_overall_build_ups,sequences_overall_build_up_goals,sequences_overall_direct_attacks,sequences_overall_direct_attack_goals,sequences_overall_ten_plus_passes,sequences_overall_start_distance,sequences_overall_high_turnovers,sequences_overall_shot_ending_high_turnovers,sequences_overall_goal_ending_high_turnovers,sequences_overall_direct_speed_for,sequences_overall_passes_for,sequences_overall_seq_time_for,sequences_overall_defensive_actions,sequences_overall_opposition_passes,sequences_overall_ppda,sequences_overall_shot_ending_hto_perc
1,Manchester United FC,Manchester United,38,69,65.49,3.51,596,216,11.5772,0.11,66.275,82.609,Manchester United,Man Utd,MUN,6eqit8ye8aomdsrrq0hk3v7gh,65,60.76,4.24,590,211,11.0169,0.103,65.9322,81.5385,19,151,14.95,27.54,25.34,22.82,1047,22,52,6,4,6,1,108,14,41,5,51.789473282663444,17690,14659,82.87,5078,3752,73.89,45.9,444,117,26.35,32.98,16.4,24.78,25.83,112,693,325,1821,51.8,50.57,147,949,50,48.57,1.43,441,141,11.3379,0.11,67.5737,84.0,46,45.42,0.58,437,137,10.5263,0.104,67.2769,82.6087,14,143,15.43,28.0,32.43,31.77,937,11,63,4,4,15,2,79,9,33,7,148,5,28,5,394,75,5,378,62,3,409,94,3,71,3,410,42.0,257,45,7,1.86,3.64,9.6,964,11602,12.0,17.51
2,Leeds United FC,Leeds United,38,49,54.24,-5.24,478,151,10.251,0.113,68.41,83.673,Leeds United,Leeds,LEE,48gk2hpqtsl6p9sx9kjhaydq4,43,47.93,-4.93,470,144,9.1489,0.102,67.8723,81.3953,16,187,16.46,32.65,39.12,30.35,899,13,60,8,6,10,3,108,6,31,3,45.7973686519422,15039,11935,79.36,3841,2403,62.56,39.26,464,103,22.2,35.31,16.13,24.43,24.12,28,661,340,1710,50.26,47.55,153,1158,56,55.67,0.33,477,163,11.74,0.117,68.3438,85.7143,50,50.94,-0.94,471,157,10.6157,0.108,67.9406,84.0,17,172,16.76,30.36,36.06,30.1,931,10,81,6,6,14,2,97,9,22,3,164,6,18,3,415,67,1,382,62,1,452,50,2,42,1,325,42.8,277,53,6,1.89,3.1,8.13,1024,13245,12.9,19.134
3,Arsenal FC,Arsenal,38,71,65.6,5.4,553,187,12.8391,0.119,73.96,80.282,Arsenal,Arsenal,ARS,4dsgumo7d4zupm2ugsvm4zm4d,67,62.45,4.55,549,183,12.204,0.114,73.7705,79.1045,23,177,20.6,32.39,32.01,31.4,1255,16,61,4,4,8,0,104,16,35,4,56.163158115587734,17897,15076,84.24,5787,4295,74.22,40.99,437,96,21.97,31.19,14.4,27.53,26.88,127,602,269,1711,51.71,51.19,130,903,27,28.3,-1.3,310,90,8.7097,0.091,63.5484,74.0741,27,28.3,-1.3,310,90,8.7097,0.091,63.5484,74.0741,7,82,6.49,25.93,26.45,22.92,618,8,25,0,0,7,1,54,5,28,1,167,11,27,5,409,70,2,380,51,0,433,112,4,76,6,478,44.2,284,42,6,1.81,3.82,11.07,1015,10985,10.8,14.789
4,Newcastle United FC,Newcastle United,38,53,57.13,-4.13,492,176,10.7724,0.116,64.024,84.906,Newcastle United,Newcastle,NEW,7vn2i2kd35zuetw6b38gw9jsz,47,52.4,-5.4,486,170,9.6708,0.108,63.5802,82.9787,15,180,19.02,28.3,36.59,33.3,990,19,49,6,6,13,0,88,10,37,3,52.56052619532535,17098,14224,83.19,5183,3755,72.45,43.2,635,127,20.0,33.88,14.85,25.73,25.54,62,550,277,1858,49.3,54.11,153,1002,55,51.32,3.68,470,168,11.7021,0.109,65.9574,80.0,50,47.38,2.62,465,163,10.7527,0.102,65.5914,78.0,17,116,11.19,30.91,24.68,21.81,969,12,44,5,5,12,1,73,12,52,5,170,7,35,7,440,91,2,362,63,3,431,101,4,74,1,389,41.8,251,30,5,1.86,3.66,9.72,977,11106,11.4,11.952
6,Tottenham Hotspur FC,Tottenham Hotspur,38,48,40.09,7.91,436,146,11.0092,0.092,69.266,85.417,Tottenham Hotspur,Spurs,TOT,22doj4sgsocqpxw45h607udje,48,40.09,7.91,436,146,11.0092,0.092,69.2661,85.4167,19,168,14.8,39.58,38.53,36.91,924,11,58,0,0,12,0,96,13,15,2,50.350000180696185,15715,12829,81.64,4192,2904,69.27,40.8,556,123,22.12,33.6,15.87,23.96,26.57,28,743,319,1857,50.34,47.03,140,1010,57,52.32,4.68,467,152,12.2056,0.112,67.666,77.193,54,49.95,4.05,464,149,11.6379,0.108,67.4569,75.9259,10,155,16.1,17.54,33.19,30.77,923,6,67,3,3,15,1,96,6,21,1,165,5,46,14,378,70,1,447,99,4,420,62,1,53,1,327,41.7,248,31,4,1.77,3.21,8.93,1077,11536,10.7,12.5
7,Aston Villa FC,Aston Villa,38,56,48.2,7.8,483,170,11.5942,0.1,63.768,67.857,Aston Villa,Aston Villa,AVL,b496gs285it6bheuikox6z9mj,56,48.2,7.8,483,170,11.5942,0.1,63.7681,67.8571,18,155,14.81,32.14,32.09,30.73,981,15,42,0,0,15,2,70,8,32,4,53.5684209120901,17130,14614,85.31,4732,3523,74.45,46.62,427,78,18.27,31.23,15.66,25.87,27.23,67,587,238,1663,49.4,50.05,168,798,49,53.92,-4.92,490,167,10.0,0.11,65.9184,85.7143,48,52.35,-4.35,488,165,9.8361,0.107,65.7787,83.3333,15,151,14.5,30.61,30.82,26.89,936,5,110,2,1,9,1,90,7,31,2,175,11,41,14,473,90,2,373,58,1,379,77,1,55,4,372,40.1,222,38,5,1.7,3.58,10.19,870,10606,12.2,17.117
8,Chelsea FC,Chelsea,38,58,66.53,-8.53,509,166,11.3949,0.131,66.405,86.207,Chelsea,Chelsea,CHE,9q0arba2kbnywth8bkxlhgmdr,51,60.23,-9.23,501,158,10.1796,0.12,65.8683,84.3137,13,130,13.95,22.41,25.54,20.97,1005,18,58,8,7,22,3,77,10,39,5,57.68684206510845,20535,17905,87.19,5251,4027,76.69,44.97,476,96,20.17,27.36,15.87,28.28,28.5,98,592,371,1754,50.7,51.52,117,833,52,52.26,-0.26,415,160,12.5301,0.126,71.0843,90.3846,50,50.69,-0.69,413,158,12.1065,0.123,70.9443,90.0,17,134,16.36,32.69,32.29,31.3,855,10,54,2,2,15,0,82,13,31,4,158,5,33,9,447,81,3,409,90,8,399,123,6,72,6,613,42.0,251,58,6,1.58,4.51,12.04,1034,11328,11.0,23.108
11,Everton FC,Everton,38,47,46.7,0.3,422,142,11.1374,0.111,69.194,89.362,Everton,Everton,EVE,ehd2iemqmschhj2ec0vayztzz,45,45.12,-0.12,420,140,10.7143,0.107,69.0476,88.8889,13,159,15.21,27.66,37.68,32.58,894,16,52,2,2,11,0,89,8,30,5,43.66842089201275,14474,11535,79.69,4699,3215,68.42,40.48,466,101,21.67,35.39,16.24,25.49,22.89,57,702,311,1782,50.79,54.54,190,1131,50,56.51,-6.51,532,158,9.3985,0.106,66.9173,90.0,47,53.35,-6.35,528,154,8.9015,0.101,66.6667,87.234,11,166,15.89,22.0,31.2,28.12,1023,12,41,4,3,11,0,98,11,27,6,128,5,34,9,404,61,0,394,72,4,463,53,3,44,5,274,42.7,285,38,4,1.79,3.09,8.4,1008,13715,13.6,13.333
14,Liverpool FC,Liverpool,38,63,61.35,1.65,589,175,10.6961,0.104,65.535,85.714,Liverpool,Liverpool,LIV,c8h9bw1l82s06h77xxrelzhur,62,59.77,2.23,587,174,10.5622,0.102,65.4174,85.4839,18,135,12.05,28.57,22.92,19.64,1278,18,76,2,1,18,4,84,7,51,7,59.26052675749126,20188,17305,85.72,6616,5168,78.11,45.28,513,92,17.93,31.19,15.21,27.15,26.45,83,494,264,1718,48.96,54.38,132,959,53,47.43,5.57,435,153,12.1839,0.109,65.7471,79.2453,50,44.27,5.73,431,149,11.6009,0.103,65.4292,76.0,20,150,14.09,37.74,34.48,29.71,853,12,59,4,3,17,1,78,6,34,5,151,4,32,6,387,75,5,372,57,1,448,144,4,81,3,565,42.5,285,52,10,1.84,4.16,11.48,886,10219,11.5,18.246
17,Nottingham Forest FC,Nottingham Forest,38,48,45.99,2.01,476,156,10.084,0.097,62.395,85.417,Nottingham Forest,Nottm Forest,NFO,1qtaiy11gswx327s0vkibf70n,45,43.63,1.37,473,153,9.5137,0.092,62.1564,84.4444,11,132,9.8,22.92,27.73,21.31,844,7,61,3,3,13,1,91,10,36,4,46.75263168937281,15520,12739,82.08,4599,3341,72.65,42.64,628,131,20.86,35.25,17.15,23.41,24.18,43,644,302,1803,50.57,47.09,180,973,51,57.32,-6.32,506,163,10.0791,0.113,66.0079,76.4706,46,52.59,-6.59,500,157,9.2,0.105,65.6,71.7391,13,165,15.29,25.49,32.61,26.67,1004,12,35,6,5,14,1,98,6,34,5,155,4,39,10,423,66,1,387,60,1,377,78,4,52,4,325,41.4,229,34,3,1.8,3.31,8.8,911,12866,14.1,14.847
